Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
202100000338,1,31,,0,2,7,1,B01
202100000338,1,10,,0,2,8,13,A01
202100000339,2,7,,0,2,4,2,B01
202100000339,2,7,,0,2,1,2,A01
202100000340,1,7,,0,2,2,21,B01
202100000340,1,7,,0,2,1,21,A01
202100000341,1,10,,0,2,1,13,B01
202100000341,2,7,,0,2,1,1,A01
202100000342,2,7,,0,2,1,1,A01
202100000342,2,7,,0,2,4,2,B01
202100000343,2,7,,6,0,1,1,A01
202100000344,2,7,,0,2,5,16,A01
202100000344,2,1,,0,2,1,1,B01
202100000345,1,7,,0,2,7,12,B01
202100000345,1,7,,0,2,8,2,A01
202100000346,1,14,,0,2,1,2,E01
202100000346,1,7,,0,2,9,2,F01
202100000346,1,10,,0,2,9,2,G01
202100000346,1,7,,0,2,9,2,H01
202100000347,2,7,,0,2,2,1,A01
202100000347,2,7,,0,2,3,16,B01
202100000348,2,7,,0,1,3,1,A01
202100000349,2,1,,0,2,1,1,B01
202100000349,2,10,,0,2,3,22,A01
202100000350,1,7,,0,2,4,2,B01
202100000350,1,7,,0,2,1,2,A01
202100000351,2,7,,8,0,3,14,A01
202100000352,3,7,,0,2,1,15,A01
202100000352,3,7,,0,2,1,1,B01
202100000353,2,1,,7,0,0,14,A01
202100000354,1,1,,0,2,1,1,B01
202100000354,1,99,,0,2,6,15,A01
202100000355,1,32,,0,0,8,1,A01
202100000356,2,7,,0,1,7,16,A01
202100000357,2,33,,3,0,1,17,A01
202100000358,2,7,,0,2,1,15,A01
202100000358,2,1,,0,2,1,23,B01
202100000359,1,7,,0,2,1,2,A01
202100000359,1,7,,0,2,4,1,B01
202100000360,3,7,,0,0,2,15,A01
202100000361,3,7,,0,2,2,15,B01
202100000361,3,7,,0,2,5,1,A01
202100000362,1,7,,0,2,5,1,B01
202100000362,3,33,,0,2,1,2,A01
202100000363,3,34,,12,0,3,13,A01
202100000364,0,7,,0,2,1,2,B01
202100000364,0,7,,0,2,1,2,C01
202100000364,0,7,,0,2,1,2,D01
202100000364,0,7,,0,2,1,2,E01
202100000364,0,7,,0,0,0,23,A01
202100000365,3,1,,0,2,1,2,B01
202100000365,3,10,,0,2,5,2,A01
202100000366,3,7,,0,2,2,15,A01
202100000366,3,32,,0,2,1,3,B01
202100000367,1,32,,0,1,1,26,A01
202100000368,1,7,,0,2,1,1,B01
202100000368,2,7,,6,2,1,4,A01
202100000369,1,7,,0,1,2,21,A01
202100000370,1,7,,0,2,2,1,A01
202100000370,1,33,,0,2,4,1,B01
202100000371,2,1,,1,2,7,1,B01
202100000371,1,7,,0,2,1,9,A01
202100000372,3,7,,6,0,1,1,A01
202100000373,1,30,,0,2,7,1,A01
202100000373,1,7,,0,2,1,1,B01
202100000374,3,39,,0,1,1,1,A01
202100000375,3,7,,0,2,3,1,B01
202100000375,3,7,,0,2,2,1,A01
202100000376,1,7,,0,2,3,1,A01
202100000376,0,30,,0,2,7,1,B01
202100000377,2,7,,0,2,8,1,A01
202100000377,1,80,,0,2,8,1,B01
202100000377,1,1,,0,2,4,1,C01
202100000378,1,7,,0,1,1,1,A01
202100000379,0,7,,0,2,3,16,B01
202100000379,0,43,,0,2,7,1,A01
202100000380,2,7,,13,0,9,1,A01
202100000381,2,7,,0,2,3,2,B01
202100000381,1,10,,0,2,3,13,A01
202100000382,2,15,,0,2,4,1,B01
202100000382,2,7,,3,2,9,1,A01
202100000383,2,80,,6,0,1,1,A01
202100000384,1,7,,3,0,1,26,A01
202100000385,1,80,,0,2,2,9,B01
202100000385,1,7,,0,2,3,9,A01
202100000386,0,7,,13,0,9,1,A01
202100000387,2,7,,0,2,1,5,A01
202100000387,1,7,,0,2,3,0,B01
202100000388,2,7,,0,1,2,1,A01
202100000389,3,7,,2,0,1,1,A01
202100000390,3,32,,0,2,1,1,B01
202100000390,3,7,,0,2,3,15,A01
